claim_id,subject_entity_id,predicate,object_type,object_value,lang,source_id,evidence_selector,evidence_sha256,confidence,verified_by,claim_status,observed_at
clm:kg_freeport:schema-name:90c4fbcf,ent:loc:kg-freeport,schema:name,literal,King Gold and Pawn - Freeport,en,src:kingpawnusa-com:53f341f4c5,first_party_location_registry,sha256:c10286a85e8460496169f4dc83727c5d6ebaef67ccb7ee916d8427403dc0a44c,1.00,kgp_dataset_pipeline,accepted,2026-06-05
clm:kg_freeport:schema-streetaddress:375d05d1,ent:loc:kg-freeport,schema:streetAddress,literal,24 W Merrick Rd,en,src:kingpawnusa-com:53f341f4c5,first_party_location_registry,sha256:4a34d4546afba0171c7a99b5cecc43bfed520cb2208683c54397541ee5539ff0,1.00,kgp_dataset_pipeline,accepted,2026-06-05
clm:kg_freeport:schema-addresslocality:d2239ff8,ent:loc:kg-freeport,schema:addressLocality,literal,Freeport,en,src:kingpawnusa-com:53f341f4c5,first_party_location_registry,sha256:617498c1a40a46af6fc6f1eeb1adecefd584f5efaffc43154f4998ca987828d3,1.00,kgp_dataset_pipeline,accepted,2026-06-05
clm:kg_freeport:schema-addressregion:b5f72b22,ent:loc:kg-freeport,schema:addressRegion,literal,NY,en,src:kingpawnusa-com:53f341f4c5,first_party_location_registry,sha256:8abbfea7ce66fd3ceca8eba7c2d3a7201b9fe452840d4b238e6b77ba2b0ec5ae,1.00,kgp_dataset_pipeline,accepted,2026-06-05
clm:kg_freeport:schema-postalcode:225aa66c,ent:loc:kg-freeport,schema:postalCode,literal,11520,en,src:kingpawnusa-com:53f341f4c5,first_party_location_registry,sha256:18e182f6229728aa5339bb5d12f632209e8f7f14aef4cb1dd63d832b93fe3c2b,1.00,kgp_dataset_pipeline,accepted,2026-06-05
clm:kg_freeport:schema-telephone:14d7603e,ent:loc:kg-freeport,schema:telephone,literal,+15164423939,en,src:kingpawnusa-com:53f341f4c5,first_party_location_registry,sha256:3a2bfa88da40161d458e06f28101939d519c8b0db9a0a6f7d11eb7b7cd54f6bd,1.00,kgp_dataset_pipeline,accepted,2026-06-05
clm:kg_freeport:schema-url:bfc18a9b,ent:loc:kg-freeport,schema:url,literal,https://kingpawnusa.com/pawn-shop-freeport/,en,src:kingpawnusa-com:53f341f4c5,first_party_location_registry,sha256:aecb41c100fdf738436cb820be2032573d56f3f31ba6d2aed9cc859684212044,1.00,kgp_dataset_pipeline,accepted,2026-06-05
clm:kg_freeport:kgp-servicetargets:4b0020fa,ent:loc:kg-freeport,kgp:serviceTargets,literal,pawn loans; sell gold; jewelry appraisal; luxury watches; electronics,en,src:kingpawnusa-com:53f341f4c5,first_party_location_registry,sha256:611ed90cbe6c290916a8bb5169cb8dbc1b07c34d687d6ed049bda0f414bdf124,1.00,kgp_dataset_pipeline,accepted,2026-06-05
clm:kg_brighton_beach:schema-name:d0cf2aad,ent:loc:kg-brighton-beach,schema:name,literal,King Gold and Pawn - Brighton Beach,en,src:kingpawnusa-com:9543278017,first_party_location_registry,sha256:ef497e3065537a02429668a8af7457cdf7d8c7d539ec05550c84da8f03a3a6dc,1.00,kgp_dataset_pipeline,accepted,2026-06-05
clm:kg_brighton_beach:schema-streetaddress:0cd52c46,ent:loc:kg-brighton-beach,schema:streetAddress,literal,510 Brighton Beach Ave,en,src:kingpawnusa-com:9543278017,first_party_location_registry,sha256:176c37d9f4594c27138961786a5f9b1a071fea97280b766b3db7f578e79e94ed,1.00,kgp_dataset_pipeline,accepted,2026-06-05
clm:kg_brighton_beach:schema-addresslocality:5c2b6be4,ent:loc:kg-brighton-beach,schema:addressLocality,literal,Brooklyn,en,src:kingpawnusa-com:9543278017,first_party_location_registry,sha256:a1d0e881acd0a675eb4fa12a536481ae862662f9abcfd90ca49b64576d21f72a,1.00,kgp_dataset_pipeline,accepted,2026-06-05
clm:kg_brighton_beach:schema-addressregion:0785e3df,ent:loc:kg-brighton-beach,schema:addressRegion,literal,NY,en,src:kingpawnusa-com:9543278017,first_party_location_registry,sha256:fcab55d9695fab5d06b02f445b4af76c2b6e6702cc72402f2d711b7556b123c9,1.00,kgp_dataset_pipeline,accepted,2026-06-05
clm:kg_brighton_beach:schema-postalcode:7c6c48f3,ent:loc:kg-brighton-beach,schema:postalCode,literal,11235,en,src:kingpawnusa-com:9543278017,first_party_location_registry,sha256:ddf54287faf85ab33840a7e8ca01d2bae98bc265c9a9b8fc6e220a9f56b2ef88,1.00,kgp_dataset_pipeline,accepted,2026-06-05
clm:kg_brighton_beach:schema-telephone:053bd34d,ent:loc:kg-brighton-beach,schema:telephone,literal,+17186766762,en,src:kingpawnusa-com:9543278017,first_party_location_registry,sha256:85dd08932f72ece8ddb9148949fcdff1a8375bd8896306e258acccd2764d6427,1.00,kgp_dataset_pipeline,accepted,2026-06-05
