relationship_id,subject_entity_id,predicate,object_entity_id,source_id,confidence,relation_status,observed_at
rel:org-has-location:kg_freeport,ent:org:king-pawn-usa,schema:hasPart,ent:loc:kg-freeport,src:kingpawnusa-com:53f341f4c5,1.00,accepted,2026-06-25
rel:org-has-location:kg_brighton_beach,ent:org:king-pawn-usa,schema:hasPart,ent:loc:kg-brighton-beach,src:kingpawnusa-com:9543278017,1.00,accepted,2026-06-25
rel:org-has-location:kg_pitkin,ent:org:king-pawn-usa,schema:hasPart,ent:loc:kg-pitkin,src:kingpawnusa-com:0a0165f4a5,1.00,accepted,2026-06-25
rel:org-has-location:kg_sunset_park,ent:org:king-pawn-usa,schema:hasPart,ent:loc:kg-sunset-park,src:kingpawnusa-com:7776d38948,1.00,accepted,2026-06-25
rel:org-has-location:kg_bronx_longwood,ent:org:king-pawn-usa,schema:hasPart,ent:loc:kg-bronx-longwood,src:kingpawnusa-com:fe9898c8b6,1.00,accepted,2026-06-25
rel:org-has-location:kg_lawrence,ent:org:king-pawn-usa,schema:hasPart,ent:loc:kg-lawrence,src:kingpawnusa-com:cd75e98f70,1.00,accepted,2026-06-25
rel:org-has-location:kg_new_rochelle,ent:org:king-pawn-usa,schema:hasPart,ent:loc:kg-new-rochelle,src:kingpawnusa-com:c36d590b0e,1.00,accepted,2026-06-25
rel:kg_brighton_beach:sameas:e8fd5fd153,ent:loc:kg-brighton-beach,schema:sameAs,https://maps.apple/p/afqPJ6JTE.FqbS,src:maps-apple:e8fd5fd153,0.95,accepted,2026-06-25
rel:kg_brighton_beach:sameas:36e1bacd2c,ent:loc:kg-brighton-beach,schema:sameAs,https://www.bbb.org/us/ny/brooklyn/profile/pawnbroker/king-gold-pawn-8-0121-87184136,src:bbb-org:36e1bacd2c,0.95,accepted,2026-06-25
rel:kg_brighton_beach:sameas:fb32731667,ent:loc:kg-brighton-beach,schema:sameAs,https://maps.app.goo.gl/8USRrgMZkafHCEZf9,src:maps-app-goo-gl:fb32731667,0.95,accepted,2026-06-25
rel:kg_brighton_beach:sameas:d529a25275,ent:loc:kg-brighton-beach,schema:sameAs,https://www.jewelers.org/buying-jewelry/shop-with-a-member-jeweler/find-a-jeweler/king-gold-and-pawn-82161699,src:jewelers-org:d529a25275,0.95,accepted,2026-06-25
rel:kg_brighton_beach:sameas:6385debeb3,ent:loc:kg-brighton-beach,schema:sameAs,https://hub.pawnfinders.com/pawnfinders-directory/Details/king-gold-and-pawn-4726218,src:hub-pawnfinders-com:6385debeb3,0.95,accepted,2026-06-25
rel:kg_brighton_beach:sameas:2ebef08f36,ent:loc:kg-brighton-beach,schema:sameAs,https://ul.waze.com/ul?place=ChIJjWAxUF1FwokROt4W6rfewcA&ll=40.57726360%2C-73.96190470&navigate=yes&utm_campaign=default&utm_source=waze_website&utm_medium=lm_share_location,src:ul-waze-com:2ebef08f36,0.95,accepted,2026-06-25
rel:kg_brighton_beach:sameas:0b173cec7f,ent:loc:kg-brighton-beach,schema:sameAs,https://www.yelp.com/biz/king-gold-and-pawn-of-cl-brooklyn,src:yelp-com:0b173cec7f,0.95,accepted,2026-06-25
rel:kg_bronx_longwood:sameas:5188305555,ent:loc:kg-bronx-longwood,schema:sameAs,https://maps.apple/p/f6-_mvcV.e~GGj,src:maps-apple:5188305555,0.95,accepted,2026-06-25
rel:kg_bronx_longwood:sameas:2a6afef6ff,ent:loc:kg-bronx-longwood,schema:sameAs,https://www.bbb.org/us/ny/bronx/profile/pawnbroker/q-gold-pawn-0121-87184134,src:bbb-org:2a6afef6ff,0.95,accepted,2026-06-25
rel:kg_bronx_longwood:sameas:9fa64fb3f7,ent:loc:kg-bronx-longwood,schema:sameAs,https://share.google/k7PdjbDwf0PYPTHZp,src:share-google:9fa64fb3f7,0.95,accepted,2026-06-25
rel:kg_bronx_longwood:sameas:6159f77644,ent:loc:kg-bronx-longwood,schema:sameAs,https://www.jewelers.org/buying-jewelry/shop-with-a-member-jeweler/find-a-jeweler/king-gold-and-pawn-82161719,src:jewelers-org:6159f77644,0.95,accepted,2026-06-25
rel:kg_bronx_longwood:sameas:0ba0fbe673,ent:loc:kg-bronx-longwood,schema:sameAs,https://hub.pawnfinders.com/pawnfinders-directory/Details/king-gold-and-pawn-4726212,src:hub-pawnfinders-com:0ba0fbe673,0.95,accepted,2026-06-25
